RepRapFirmware height map file v2 generated at 2021-10-13 15:02, min error -0.115, max error 0.045, mean -0.028, deviation 0.036
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,25.00,172.60,25.00,203.90,-1.00,20.00,20.00,8,9
  0.007,  0.010,  0.005,  0.002, -0.015, -0.020, -0.028, -0.040
  0.027,  0.015, -0.003, -0.013, -0.020, -0.045, -0.053, -0.060
  0.043,  0.017,  0.005, -0.008, -0.033, -0.055, -0.082, -0.087
  0.045,  0.007, -0.023, -0.033, -0.053, -0.065, -0.095, -0.115
  0.038,  0.010, -0.008, -0.015, -0.050, -0.070, -0.095, -0.108
  0.027,  0.005, -0.020, -0.033, -0.060, -0.067, -0.077, -0.090
  0.015, -0.008, -0.015, -0.020, -0.040, -0.060, -0.065, -0.077
  0.005, -0.020, -0.033, -0.043, -0.045, -0.043, -0.048, -0.058
  0.007, -0.013, -0.013, -0.015, -0.018, -0.020, -0.023, -0.025
